Chromosome,Strand,Start,End,ReadCount,ModeLocation,ModeReadCount,Shape,TranscriptLocation,TranscriptID,GeneName,GeneType,X..Capped,tissue
chr17,+,48133459,48133486,1.86853562104196,48133472.5,0.934267810520978,None,tss,ENSG00000005884,ENSG00000005884,gene,100,GM12878
chr17,-,42467001,42467024,2.188694722337,42467012.5,1.0943473611685,None,tss,ENSG00000005961,ENSG00000005961,gene,100,K562
chr17,+,31255165,31255228,22.6173363021654,31255196.5,11.3086681510827,None,tss,ENSG00000006042,ENSG00000006042,gene,100,K562
chr16,+,3070356,3070383,30.1489294970757,3070369.5,15.0744647485378,None,tss,ENSG00000006327,ENSG00000006327,gene,100,K562
chr19,-,3606847,3606898,31.9583221321514,3606872.5,15.9791610660757,None,tss,ENSG00000006638,ENSG00000006638,gene,100,K562
chr19,+,40195101,40195131,1.33253522197143,40195116,0.666267610985715,None,tss,ENSG00000006659,ENSG00000006659,gene,100,GM12878
chr7,+,73868220,73868272,6.09301398502128,73868246,3.04650699251064,None,tss,ENSG00000006704,ENSG00000006704,gene,100,K562
chr16,+,2867231,2867246,3.17213311753263,2867238.5,1.58606655876631,None,tss,ENSG00000007038,ENSG00000007038,gene,100,K562
chr19,+,42055879,42055892,12.9567085358844,42055885.5,6.47835426794218,None,tss,ENSG00000007129,ENSG00000007129,gene,100,GM12878
chr17,-,9929636,9929643,0.129653051812313,9929639.5,0.0648265259061565,None,tss,ENSG00000007237,ENSG00000007237,gene,100,GM12878
chr19,-,3786354,3786421,8.1397531573831,3786387.5,4.06987657869155,None,tss,ENSG00000007264,ENSG00000007264,gene,100,K562
chr17,-,62009667,62009701,25.1995236093238,62009684,12.5997618046619,None,tss,ENSG00000007312,ENSG00000007312,gene,100,GM12878
chr16,-,122619,122655,2.32924745398198,122637,1.16462372699099,None,tss,ENSG00000007384,ENSG00000007384,gene,100,K562
chr16,+,1383632,1383652,1.27201332357749,1383642,0.636006661788744,None,tss,ENSG00000007516,ENSG00000007516,gene,100,K562
chr6,-,35464817,35464894,13.180639397922,35464855.5,6.59031969896102,None,tss,ENSG00000007866,ENSG00000007866,gene,100,K562
chr7,+,87563557,87563641,33.4698242855504,87563599,16.7349121427752,None,tss,ENSG00000008277,ENSG00000008277,gene,100,GM12878
chr17,-,61514812,61514863,2.7740766886298,61514837.5,1.3870383443149,None,tss,ENSG00000008283,ENSG00000008283,gene,100,K562
chr7,-,121784355,121784367,1.68451298711986,121784361,0.842256493559932,None,tss,ENSG00000008311,ENSG00000008311,gene,100,GM12878
chr16,+,3115626,3115648,120.058216837991,3115637,60.0291084189957,None,tss,ENSG00000008517,ENSG00000008517,gene,100,GM12878
chr8,+,22857048,22857082,7.49093827524396,22857065,3.74546913762198,None,tss,ENSG00000008853,ENSG00000008853,gene,100,GM12878
chr1,+,209929446,209929490,30.7147610618097,209929468,15.3573805309048,None,tss,ENSG00000009790,ENSG00000009790,gene,100,GM12878
chr7,-,73038839,73038862,3.24776239739087,73038850.5,1.62388119869544,None,tss,ENSG00000009950,ENSG00000009950,gene,100,K562
chr12,-,6665200,6665255,5.93710989182151,6665227.5,2.96855494591076,None,tss,ENSG00000010295,ENSG00000010295,gene,100,GM12878
chr6,-,112194622,112194662,67.8657880517805,112194642,33.9328940258903,None,tss,ENSG00000010810,ENSG00000010810,gene,100,GM12878
chr6,-,143266297,143266356,7.37789349713335,143266326.5,3.68894674856667,None,tss,ENSG00000010818,ENSG00000010818,gene,100,GM12878
chr17,+,60759119,60759136,6.63815699694313,60759127.5,3.31907849847156,None,tss,ENSG00000011028,ENSG00000011028,gene,100,K562
chrX,-,8700171,8700212,0.957976097884564,8700191.5,0.478988048942282,None,tss,ENSG00000011201,ENSG00000011201,gene,100,GM12878
chr2,-,39664405,39664442,8.3734702881567,39664423.5,4.18673514407835,None,tss,ENSG00000011566,ENSG00000011566,gene,100,K562
chr19,+,36204309,36204335,37.0903799191972,36204322,18.5451899595986,None,tss,ENSG00000011590,ENSG00000011590,gene,100,GM12878
chr19,-,36399152,36399219,1.71249881674034,36399185.5,0.85624940837017,None,tss,ENSG00000011600,ENSG00000011600,gene,100,K562
chrX,-,151619746,151619815,0.065354178105913,151619780.5,0.0326770890529565,None,tss,ENSG00000011677,ENSG00000011677,gene,100,K562
chr19,+,35820064,35820097,78.0452520130384,35820080.5,39.0226260065192,None,tss,ENSG00000012124,ENSG00000012124,gene,100,GM12878
chr2,+,31457010,31457032,6.16154446334895,31457021,3.08077223167447,None,tss,ENSG00000013016,ENSG00000013016,gene,100,GM12878
chr16,+,29831757,29831802,34.3742111756156,29831779.5,17.1871055878078,None,tss,ENSG00000013364,ENSG00000013364,gene,100,GM12878
chr12,-,13153139,13153231,3.43214701162608,13153185,1.71607350581304,None,tss,ENSG00000013583,ENSG00000013583,gene,100,K562
chr3,-,149375783,149375835,9.40721711172838,149375809,4.70360855586419,None,tss,ENSG00000018408,ENSG00000018408,gene,100,GM12878
chr11,+,118478294,118478310,1.98419063091632,118478302,0.992095315458162,None,tss,ENSG00000019144,ENSG00000019144,gene,100,K562
chr5,-,149792306,149792326,6486.54555464089,149792316,3243.27277732045,None,tss,ENSG00000019582,ENSG00000019582,gene,100,GM12878
chr1,-,25256756,25256774,93.6775247781449,25256765,46.8387623890724,None,tss,ENSG00000020633,ENSG00000020633,gene,100,GM12878
chr6,-,2842087,2842105,88.7063086734552,2842096,44.3531543367276,None,tss,ENSG00000021355,ENSG00000021355,gene,100,K562
chr11,-,3186576,3186587,0.739876888988882,3186581.5,0.369938444494441,None,tss,ENSG00000021762,ENSG00000021762,gene,100,K562
chr19,+,55477738,55477774,4.27492203580407,55477756,2.13746101790204,None,tss,ENSG00000022556,ENSG00000022556,gene,100,K562
chr11,+,102188181,102188222,228.990867104737,102188201.5,114.495433552369,None,tss,ENSG00000023445,ENSG00000023445,gene,100,GM12878
chr19,+,48216669,48216685,29.2695342983609,48216677,14.6347671491804,None,tss,ENSG00000024422,ENSG00000024422,gene,100,K562
chr6,-,90121938,90122025,10.1923400637504,90121981.5,5.09617003187521,None,tss,ENSG00000025039,ENSG00000025039,gene,100,GM12878
chr22,-,50968434,50968449,7.30035015533997,50968441.5,3.65017507766999,None,tss,ENSG00000025708,ENSG00000025708,gene,100,GM12878
chr10,+,90750378,90750442,24.4691892490466,90750410,12.2345946245233,None,tss,ENSG00000026103,ENSG00000026103,gene,100,GM12878
chr1,+,160709055,160709074,67.6761455862532,160709064.5,33.8380727931266,None,tss,ENSG00000026751,ENSG00000026751,gene,100,GM12878
chr14,+,61788289,61788305,5.69178804561757,61788297,2.84589402280878,None,tss,ENSG00000027075,ENSG00000027075,gene,100,GM12878
chr19,-,42636586,42636607,61.2282189329825,42636596.5,30.6141094664913,None,tss,ENSG00000028277,ENSG00000028277,gene,100,GM12878
chr12,+,27485785,27485816,23.7134756662691,27485800.5,11.8567378331345,None,tss,ENSG00000029153,ENSG00000029153,gene,100,GM12878
chr8,-,41655107,41655159,93.445181697181,41655133,46.7225908485905,None,tss,ENSG00000029534,ENSG00000029534,gene,100,K562
chr2,-,214015343,214015366,11.049370803603,214015354.5,5.52468540180151,None,tss,ENSG00000030419,ENSG00000030419,gene,100,GM12878
chr3,+,119013476,119013540,14.4306526832323,119013508,7.21532634161617,None,tss,ENSG00000031081,ENSG00000031081,gene,100,GM12878
chr11,-,78128811,78128916,14.6713449298383,78128863.5,7.33567246491917,None,tss,ENSG00000033327,ENSG00000033327,gene,100,K562
chr15,+,29131188,29131210,1.07508933662139,29131199,0.537544668310695,None,tss,ENSG00000034053,ENSG00000034053,gene,100,K562
chr10,+,75757863,75757897,187.123245908891,75757880,93.5616229544455,None,tss,ENSG00000035403,ENSG00000035403,gene,100,K562
chr4,+,68424434,68424453,2.21074560944666,68424443.5,1.10537280472333,None,tss,ENSG00000035720,ENSG00000035720,gene,100,GM12878
chr11,-,119252311,119252329,2.09607168890022,119252320,1.04803584445011,None,tss,ENSG00000036672,ENSG00000036672,gene,100,K562
chr5,+,14143331,14143406,11.6831408828599,14143368.5,5.84157044142996,None,tss,ENSG00000038382,ENSG00000038382,gene,100,GM12878
chr16,+,68771187,68771201,0.0273668631499819,68771194,0.0136834315749909,None,tss,ENSG00000039068,ENSG00000039068,gene,100,GM12878
chr5,+,34656450,34656523,6.91027953743829,34656486.5,3.45513976871915,None,tss,ENSG00000039560,ENSG00000039560,gene,100,K562
chr22,-,20255808,20255843,0.655264686335858,20255825.5,0.327632343167929,None,tss,ENSG00000040608,ENSG00000040608,gene,100,K562
chr18,+,52495637,52495719,1.68566068772865,52495678,0.842830343864327,None,tss,ENSG00000041353,ENSG00000041353,gene,100,K562
chr9,-,117798509,117798537,1.16787151472104,117798523,0.58393575736052,None,tss,ENSG00000041982,ENSG00000041982,gene,100,GM12878
chr20,-,49307827,49307863,15.232879204232,49307845,7.61643960211602,None,tss,ENSG00000042062,ENSG00000042062,gene,100,K562
chr13,+,100634088,100634099,1.09391663484932,100634093.5,0.546958317424659,None,tss,ENSG00000043355,ENSG00000043355,gene,100,K562
chr9,+,17135016,17135063,11.7942899330698,17135039.5,5.89714496653492,None,tss,ENSG00000044459,ENSG00000044459,gene,100,GM12878
chr3,+,89156832,89156848,0.286271319109545,89156840,0.143135659554773,None,tss,ENSG00000044524,ENSG00000044524,gene,100,GM12878
chrX,-,141293047,141293082,28.7914802009931,141293064.5,14.3957401004965,None,tss,ENSG00000046774,ENSG00000046774,gene,100,K562
chr4,-,36245985,36246005,0.927219426598316,36245995,0.463609713299158,None,tss,ENSG00000047365,ENSG00000047365,gene,100,GM12878
chrX,+,37545026,37545064,16.2721839673401,37545045,8.13609198367005,None,tss,ENSG00000047597,ENSG00000047597,gene,100,K562
chrX,+,17755563,17755618,6.16681263741586,17755590.5,3.08340631870793,None,tss,ENSG00000047634,ENSG00000047634,gene,100,GM12878
chrX,+,10066426,10066458,2.37108032559545,10066442,1.18554016279773,None,tss,ENSG00000047644,ENSG00000047644,gene,100,GM12878
chrX,-,11445856,11445943,83.4544446307576,11445899.5,41.7272223153788,None,tss,ENSG00000047648,ENSG00000047648,gene,100,K562
chr7,+,18330064,18330080,7.44411410126195,18330072,3.72205705063097,None,tss,ENSG00000048052,ENSG00000048052,gene,100,GM12878
chr16,+,12059050,12059079,42.6561890265802,12059064.5,21.3280945132901,None,tss,ENSG00000048462,ENSG00000048462,gene,100,GM12878
chr12,-,16759589,16759592,0.0536037902545416,16759590.5,0.0268018951272708,None,tss,ENSG00000048540,ENSG00000048540,gene,100,GM12878
chr1,-,40781056,40781094,1.0770955810979,40781075,0.53854779054895,None,tss,ENSG00000049089,ENSG00000049089,gene,100,GM12878
chr1,+,7887452,7887505,14.622984505311,7887478.5,7.31149225265548,None,tss,ENSG00000049246,ENSG00000049246,gene,100,K562
chr1,-,8000872,8000922,15.8862895972985,8000897,7.94314479864927,None,tss,ENSG00000049249,ENSG00000049249,gene,100,GM12878
chr2,+,33172012,33172028,5.63912766649916,33172020,2.81956383324958,None,tss,ENSG00000049323,ENSG00000049323,gene,100,K562
chr11,+,32112612,32112660,15.391113674057,32112636,7.69555683702852,None,tss,ENSG00000049449,ENSG00000049449,gene,100,GM12878
chrX,-,74145273,74145319,1.1059190210086,74145296,0.552959510504298,None,tss,ENSG00000050030,ENSG00000050030,gene,100,GM12878
chr1,-,71513487,71513506,18.2684832446581,71513496.5,9.13424162232907,None,tss,ENSG00000050628,ENSG00000050628,gene,100,K562
chr12,+,19282643,19282710,12.5981241937045,19282676.5,6.29906209685224,None,tss,ENSG00000052126,ENSG00000052126,gene,100,K562
chr16,-,31147020,31147058,3.25534250185545,31147039,1.62767125092772,None,tss,ENSG00000052344,ENSG00000052344,gene,100,K562
chr4,+,159690128,159690187,4.89795859855273,159690157.5,2.44897929927637,None,tss,ENSG00000052795,ENSG00000052795,gene,100,K562
chr14,-,89883509,89883587,6.09779462589615,89883548,3.04889731294808,None,tss,ENSG00000053254,ENSG00000053254,gene,100,GM12878
chr1,-,241803649,241803678,51.7841690969608,241803663.5,25.8920845484804,None,tss,ENSG00000054277,ENSG00000054277,gene,100,K562
chr1,+,210502330,210502350,0.745858312432126,210502340,0.372929156216063,None,tss,ENSG00000054392,ENSG00000054392,gene,100,GM12878
chr14,+,64319669,64319739,16.106388706313,64319704,8.05319435315648,None,tss,ENSG00000054654,ENSG00000054654,gene,100,GM12878
chr14,+,67999779,67999821,1.54101014046572,67999800,0.770505070232859,None,tss,ENSG00000054690,ENSG00000054690,gene,100,K562
chr7,-,150652884,150652911,114.238938451845,150652897.5,57.1194692259227,None,tss,ENSG00000055118,ENSG00000055118,gene,100,K562
chr5,+,156693092,156693150,41.8551594328014,156693121,20.9275797164007,None,tss,ENSG00000055163,ENSG00000055163,gene,100,GM12878
chr2,+,56410948,56411039,0.15891564286296,56410993.5,0.0794578214314799,None,tss,ENSG00000055813,ENSG00000055813,gene,100,GM12878
chr9,-,123688431,123688465,176.233100777627,123688448,88.1165503888133,None,tss,ENSG00000056558,ENSG00000056558,gene,100,GM12878
chrX,+,2746962,2746988,1.12032403754182,2746975,0.560162018770912,None,tss,ENSG00000056998,ENSG00000056998,gene,100,K562
chr12,-,95044309,95044390,0.394244691473871,95044349.5,0.197122345736935,None,tss,ENSG00000057704,ENSG00000057704,gene,100,GM12878
chr7,+,90339169,90339182,11.5744876161487,90339175.5,5.78724380807437,None,tss,ENSG00000058091,ENSG00000058091,gene,100,GM12878
chr1,+,203595903,203595934,3.98300010506995,203595918.5,1.99150005253498,None,tss,ENSG00000058668,ENSG00000058668,gene,100,K562
chr19,+,3136115,3136165,11.4326835145185,3136140,5.71634175725926,None,tss,ENSG00000060558,ENSG00000060558,gene,100,GM12878
chr1,+,29563011,29563053,0.271691814175981,29563032,0.13584590708799,None,tss,ENSG00000060656,ENSG00000060656,gene,100,K562
chr2,-,183903133,183903210,29.3845529111231,183903171.5,14.6922764555616,None,tss,ENSG00000061676,ENSG00000061676,gene,100,K562
chr4,+,156680153,156680242,51.142739667521,156680197.5,25.5713698337605,None,tss,ENSG00000061918,ENSG00000061918,gene,100,GM12878
chr15,-,41806016,41806031,0.580066132796798,41806023.5,0.290033066398399,None,tss,ENSG00000062524,ENSG00000062524,gene,100,K562
chr11,+,2323349,2323407,0.504436852938555,2323378,0.252218426469278,None,tss,ENSG00000064201,ENSG00000064201,gene,100,K562
chr3,+,98501953,98501955,0.604102604835465,98501954,0.302051302417732,None,tss,ENSG00000064225,ENSG00000064225,gene,100,GM12878
chr5,+,122181279,122181317,2.98354004830681,122181298,1.4917700241534,None,tss,ENSG00000064652,ENSG00000064652,gene,100,K562
chr19,+,1040096,1040161,36.4841270368096,1040128.5,18.2420635184048,None,tss,ENSG00000064687,ENSG00000064687,gene,100,K562
chr1,+,111742942,111742955,24.4634754524284,111742948.5,12.2317377262142,None,tss,ENSG00000064886,ENSG00000064886,gene,100,GM12878
chr2,-,188312971,188312987,10.7909978677032,188312979,5.3954989338516,None,tss,ENSG00000064989,ENSG00000064989,gene,100,GM12878
chr16,+,2076875,2076915,18.6584923644841,2076895,9.32924618224203,None,tss,ENSG00000065054,ENSG00000065054,gene,100,K562
chr10,-,126107482,126107501,184.755937233906,126107491.5,92.3779686169528,None,tss,ENSG00000065154,ENSG00000065154,gene,100,K562
chr12,+,56473939,56473994,0.645420310902711,56473966.5,0.322710155451355,None,tss,ENSG00000065361,ENSG00000065361,gene,100,K562
chr2,-,198175495,198175525,15.5464894948842,198175510,7.77324474744208,None,tss,ENSG00000065413,ENSG00000065413,gene,100,GM12878
chr19,-,3029267,3029327,2.76412167382399,3029297,1.38206083691199,None,tss,ENSG00000065717,ENSG00000065717,gene,100,K562
chr10,-,14646391,14646408,111.068402271001,14646399.5,55.5342011355007,None,tss,ENSG00000065809,ENSG00000065809,gene,100,GM12878
chrX,-,46618519,46618622,36.4700565620607,46618570.5,18.2350282810304,None,tss,ENSG00000065923,ENSG00000065923,gene,100,GM12878
chr2,+,80816509,80816521,0.0262369271045597,80816515,0.0131184635522798,None,tss,ENSG00000066032,ENSG00000066032,gene,100,GM12878
chr5,-,54830900,54830925,1.1522290369009,54830912.5,0.576114518450448,None,tss,ENSG00000067113,ENSG00000067113,gene,100,GM12878
chrX,-,71934126,71934180,5.64994413394333,71934153,2.82497206697167,None,tss,ENSG00000067177,ENSG00000067177,gene,100,K562
chrX,+,24483341,24483444,38.2436840266986,24483392.5,19.1218420133493,None,tss,ENSG00000067992,ENSG00000067992,gene,100,GM12878
chr4,+,1795012,1795028,7.13781938207752,1795020,3.56890969103876,None,tss,ENSG00000068078,ENSG00000068078,gene,100,K562
chrX,-,49460578,49460597,18.5687360931225,49460587.5,9.28436804656127,None,tss,ENSG00000068985,ENSG00000068985,gene,100,K562
chr5,-,134369905,134369972,68.4246669193304,134369938.5,34.2123334596652,None,tss,ENSG00000069011,ENSG00000069011,gene,100,K562
chr5,+,66300464,66300505,8.66520741843866,66300484.5,4.33260370921933,None,tss,ENSG00000069020,ENSG00000069020,gene,100,K562
chr1,+,6086385,6086411,57.3631391893923,6086398,28.6815695946961,None,tss,ENSG00000069424,ENSG00000069424,gene,100,GM12878
chr11,+,68452002,68452019,87.2806374524127,68452010.5,43.6403187262063,None,tss,ENSG00000069482,ENSG00000069482,gene,100,K562
chr15,-,60884706,60884743,23.121522471639,60884724.5,11.5607612358195,None,tss,ENSG00000069667,ENSG00000069667,gene,100,GM12878
chr15,-,52472078,52472188,7.61304591892849,52472133,3.80652295946425,None,tss,ENSG00000069966,ENSG00000069966,gene,100,GM12878
chr3,-,149688655,149688714,16.188764306739,149688684.5,8.0943821533695,None,tss,ENSG00000070087,ENSG00000070087,gene,100,GM12878
chr14,-,65346617,65346639,26.567431631462,65346628,13.283715815731,None,tss,ENSG00000070182,ENSG00000070182,gene,100,K562
chr4,+,100737954,100738014,69.4055342497928,100737984,34.7027671248964,None,tss,ENSG00000070190,ENSG00000070190,gene,100,GM12878
chr9,+,108006880,108006943,13.6280116669944,108006911.5,6.81400583349718,None,tss,ENSG00000070214,ENSG00000070214,gene,100,GM12878
chr22,-,19279201,19279268,4.44188217014155,19279234.5,2.22094108507078,None,tss,ENSG00000070371,ENSG00000070371,gene,100,K562
chr17,-,74639730,74639811,51.448341122557,74639770.5,25.7241705612785,None,tss,ENSG00000070526,ENSG00000070526,gene,100,K562
chr2,-,99347528,99347603,3.91956229229553,99347565.5,1.95978114614777,None,tss,ENSG00000071073,ENSG00000071073,gene,100,GM12878
chr4,+,148653221,148653295,19.5025940263283,148653258,9.75129701316413,None,tss,ENSG00000071205,ENSG00000071205,gene,100,GM12878
chr3,+,8543533,8543553,4.38074175001403,8543543,2.19037087500701,None,tss,ENSG00000071282,ENSG00000071282,gene,100,GM12878
chr19,-,14316980,14316983,1.80835821315672,14316981.5,0.904179106578361,None,tss,ENSG00000072071,ENSG00000072071,gene,100,K562
chr2,+,220379200,220379231,2.02802251350655,220379215.5,1.01401125675328,None,tss,ENSG00000072182,ENSG00000072182,gene,100,K562
chr17,+,19552057,19552099,5.62510167743279,19552078,2.81255083871639,None,tss,ENSG00000072210,ENSG00000072210,gene,100,GM12878
chr10,-,62704076,62704089,0.626162286355598,62704082.5,0.313081143177799,None,tss,ENSG00000072422,ENSG00000072422,gene,100,K562
chr5,-,171615189,171615266,26.7704184191703,171615227.5,13.3852092095852,None,tss,ENSG00000072786,ENSG00000072786,gene,100,GM12878
chr17,+,7239821,7239902,35.3018160278314,7239861.5,17.6509080139157,None,tss,ENSG00000072818,ENSG00000072818,gene,100,GM12878
chr4,+,5712898,5712937,5.41882432528756,5712917.5,2.70941216264378,None,tss,ENSG00000072840,ENSG00000072840,gene,100,GM12878
chr3,+,113251358,113251423,22.1452940059177,113251390.5,11.0726470029588,None,tss,ENSG00000072858,ENSG00000072858,gene,100,GM12878
chr19,+,45147143,45147223,3.12280060099424,45147183,1.56140030049712,None,tss,ENSG00000073008,ENSG00000073008,gene,100,K562
chr22,+,50608676,50608726,2.01774741175422,50608701,1.00887370587711,None,tss,ENSG00000073150,ENSG00000073150,gene,100,K562
chr3,+,189349162,189349207,25.5065012006659,189349184.5,12.753250600333,None,tss,ENSG00000073282,ENSG00000073282,gene,100,GM12878
chr4,+,113218497,113218567,14.6595722750014,113218532,7.3297861375007,None,tss,ENSG00000073331,ENSG00000073331,gene,100,GM12878
chr14,-,53417912,53417923,0.186282506012942,53417917.5,0.0931412530064709,None,tss,ENSG00000073712,ENSG00000073712,gene,100,GM12878
chr3,-,185542817,185542841,8.94943860533552,185542829,4.47471930266776,None,tss,ENSG00000073792,ENSG00000073792,gene,100,K562
chr3,+,185000735,185000796,12.0639904819525,185000765.5,6.03199524097627,None,tss,ENSG00000073803,ENSG00000073803,gene,100,GM12878
chr17,+,45810594,45810608,19.1900966706728,45810601,9.59504833533642,None,tss,ENSG00000073861,ENSG00000073861,gene,100,GM12878
chr19,-,49865646,49865718,4.87870057400562,49865682,2.43935028700281,None,tss,ENSG00000074219,ENSG00000074219,gene,100,K562
chr3,-,127542021,127542050,30.3698694121442,127542035.5,15.1849347060721,None,tss,ENSG00000074416,ENSG00000074416,gene,100,GM12878
chr6,-,154568722,154568735,10.6032071551903,154568728.5,5.30160357759515,None,tss,ENSG00000074706,ENSG00000074706,gene,100,GM12878
chr2,-,70995307,70995339,16.2999941883628,70995323,8.14999709418142,None,tss,ENSG00000075340,ENSG00000075340,gene,100,K562
chr1,+,178062855,178062903,1.26374223130102,178062879,0.631871115650509,None,tss,ENSG00000075391,ENSG00000075391,gene,100,GM12878
chr18,+,33767446,33767471,6.73272421440196,33767458.5,3.36636210720098,None,tss,ENSG00000075643,ENSG00000075643,gene,100,K562
chr3,-,171528227,171528298,74.4180656370962,171528262.5,37.2090328185481,None,tss,ENSG00000075651,ENSG00000075651,gene,100,GM12878
chr2,+,143886949,143886997,80.49013913359,143886973,40.245069566795,None,tss,ENSG00000075884,ENSG00000075884,gene,100,GM12878
chr1,-,170043617,170043675,57.3290644812139,170043646,28.6645322406069,None,tss,ENSG00000075945,ENSG00000075945,gene,100,GM12878
chr11,+,114310164,114310236,108.087597416034,114310200,54.0437987080172,None,tss,ENSG00000076043,ENSG00000076043,gene,100,K562
chr1,+,171283311,171283329,1.39481435639917,171283320,0.697407178199583,None,tss,ENSG00000076258,ENSG00000076258,gene,100,GM12878
chr8,-,81083731,81083813,62.6256795429509,81083772,31.3128397714754,None,tss,ENSG00000076554,ENSG00000076554,gene,100,GM12878
chr8,-,82024290,82024310,11.2872254843346,82024300,5.64361274216732,None,tss,ENSG00000076641,ENSG00000076641,gene,100,GM12878
chr11,-,119187829,119187847,15.8124404496302,119187838,7.90622022481508,None,tss,ENSG00000076706,ENSG00000076706,gene,100,K562
chrX,-,132549506,132549526,8.02431465803346,132549516,4.01215732901673,None,tss,ENSG00000076716,ENSG00000076716,gene,100,GM12878
chrX,-,131623044,131623089,16.6139765640841,131623066.5,8.30698828204205,None,tss,ENSG00000076770,ENSG00000076770,gene,100,GM12878
chr1,-,21995805,21995867,15.5250470608332,21995836,7.76252353041658,None,tss,ENSG00000076864,ENSG00000076864,gene,100,K562
chr10,+,26727125,26727138,9.23809454098174,26727131.5,4.61904727049087,None,tss,ENSG00000077420,ENSG00000077420,gene,100,GM12878
chr1,+,236305826,236305877,45.2486423523753,236305851.5,22.6243211761877,None,tss,ENSG00000077585,ENSG00000077585,gene,100,GM12878
chr3,-,182880514,182880528,25.7357897684241,182880521,12.8678948842121,None,tss,ENSG00000078081,ENSG00000078081,gene,100,GM12878
chr12,+,4430372,4430429,19.8578632154527,4430400.5,9.92893160772633,None,tss,ENSG00000078237,ENSG00000078237,gene,100,GM12878
chr6,+,158402860,158402933,5.80835207180521,158402896.5,2.9041760359026,None,tss,ENSG00000078269,ENSG00000078269,gene,100,K562
chr6,+,12290586,12290600,6.50272289986854,12290593,3.25136144993427,None,tss,ENSG00000078401,ENSG00000078401,gene,100,GM12878
chrX,+,78200857,78200909,110.553140728801,78200883,55.2765703644007,None,tss,ENSG00000078589,ENSG00000078589,gene,100,GM12878
chr2,+,179059188,179059250,6.77101898475086,179059219,3.38550949237543,None,tss,ENSG00000079156,ENSG00000079156,gene,100,K562
chr3,-,158390282,158390521,13.72768796564,158390401.5,6.86384398282,None,tss,ENSG00000079257,ENSG00000079257,gene,100,GM12878
chr2,+,231090433,231090469,65.1604496688913,231090451,32.5802248344457,None,tss,ENSG00000079263,ENSG00000079263,gene,100,GM12878
chr19,-,43032604,43032639,8.42842551041139,43032621.5,4.21421275520569,None,tss,ENSG00000079385,ENSG00000079385,gene,100,GM12878
chr10,-,76868843,76868862,2.76031929803086,76868852.5,1.38015964901543,None,tss,ENSG00000079393,ENSG00000079393,gene,100,K562
chr6,+,25279587,25279648,5.89381141361097,25279617.5,2.94690570680549,None,tss,ENSG00000079691,ENSG00000079691,gene,100,GM12878
chr1,+,64059025,64059107,32.3556956844248,64059066,16.1778478422124,None,tss,ENSG00000079739,ENSG00000079739,gene,100,GM12878
chr6,-,132722604,132722670,0.131912923903157,132722637,0.0659564619515787,None,tss,ENSG00000079931,ENSG00000079931,gene,100,GM12878
chr9,-,3525968,3526016,18.9037362183492,3525992,9.4518681091746,None,tss,ENSG00000080298,ENSG00000080298,gene,100,GM12878
